soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,tone_block_key_resp.keys,tone_block_key_resp.rt,sound_block_key_resp.keys,sound_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
1A.wav,2,1,21,259,S,0,66,66,66,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1B.wav,2,2,21,260,S,0,67,67,67,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1C.wav,2,3,21,261,S,0,68,68,68,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2A.wav,4,1,23,262,S,0,69,69,69,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2B.wav,4,2,23,263,S,0,70,70,70,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2C.wav,4,3,23,264,S,0,71,71,71,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1A.wav,2,1,22,265,S,0,72,72,72,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1B.wav,2,2,22,266,S,0,73,73,73,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1C.wav,2,3,22,267,S,0,74,74,74,,,,,4,0.274255990982,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4A.wav,3,1,23,268,S,0,75,75,75,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4B.wav,3,2,23,269,S,0,76,76,76,,,,,3,0.456578016281,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4C.wav,3,3,23,270,S,0,77,77,77,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3A.wav,1,1,23,271,S,0,78,78,78,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3B.wav,1,2,23,272,S,0,79,79,79,,,,,4,0.0219528675079,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3C.wav,1,3,23,273,S,0,80,80,80,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1A.wav,2,1,23,274,S,0,81,81,81,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1B.wav,2,2,23,275,S,0,82,82,82,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1C.wav,2,3,23,276,S,0,83,83,83,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4A.wav,3,1,24,277,S,0,84,84,84,,,,,3,0.0409731864929,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4B.wav,3,2,24,278,S,0,85,85,85,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
4C.wav,3,3,24,279,S,0,86,86,86,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2A.wav,4,1,24,280,S,0,87,87,87,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2B.wav,4,2,24,281,S,0,88,88,88,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
2C.wav,4,3,24,282,S,0,89,89,89,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3A.wav,1,1,24,283,S,0,90,90,90,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3B.wav,1,2,24,284,S,0,91,91,91,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
3C.wav,1,3,24,285,S,0,92,92,92,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1A.wav,2,1,24,286,S,0,93,93,93,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1B.wav,2,2,24,287,S,0,94,94,94,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
1C.wav,2,3,24,288,S,0,95,95,95,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,96,96,96,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,97,97,97,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,98,98,98,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,99,99,99,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,100,100,100,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,101,101,101,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,102,102,102,,,,,4,0.368026018143,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,103,103,103,,,,,3,0.126332998276,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,104,104,104,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,105,105,105,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,106,106,106,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,107,107,107,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
silence.wav,0,0,0,0,B,0,108,108,108,,,,,None,,,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
da.wav,0,1,1,193,R,,,,,0,0,0,0,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ba.wav,0,2,1,194,R,,,,,0,1,1,1,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
bi.wav,0,3,1,195,R,,,,,0,2,2,2,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ta.wav,0,1,1,196,R,,,,,0,3,3,3,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pa.wav,0,2,1,197,R,,,,,0,4,4,4,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
du.wav,0,3,1,198,R,,,,,0,5,5,5,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
da.wav,0,1,1,199,R,,,,,0,6,6,6,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
tu.wav,0,2,1,200,R,,,,,0,7,7,7,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
bu.wav,0,3,1,201,R,,,,,0,8,8,8,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pu.wav,0,1,1,202,R,,,,,0,9,9,9,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ti.wav,0,2,1,203,R,,,,,0,10,10,10,,,3,0.0932559967041,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pi.wav,0,3,1,204,R,,,,,0,11,11,11,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
bu.wav,0,1,1,205,R,,,,,0,12,12,12,,,4,0.104809045792,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
tu.wav,0,2,1,206,R,,,,,0,13,13,13,,,3,0.421040058136,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ba.wav,0,3,1,207,R,,,,,0,14,14,14,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pi.wav,0,1,1,208,R,,,,,0,15,15,15,,,4,0.309700965881,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
di.wav,0,2,1,209,R,,,,,0,16,16,16,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
da.wav,0,3,1,210,R,,,,,0,17,17,17,,,3,0.325922966003,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
