soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
bi.wav,0,3,1,249,R,0,56,56,56,,,,,2,0.171886920929,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ta.wav,0,1,1,250,R,0,57,57,57,,,,,2,0.15677189827,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ta.wav,0,2,1,251,R,0,58,58,58,,,,,2,0.403825998306,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ba.wav,0,3,1,252,R,0,59,59,59,,,,,2,0.33868098259,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
da.wav,0,1,1,253,R,0,60,60,60,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
tu.wav,0,2,1,254,R,0,61,61,61,,,,,2,0.404834985733,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
di.wav,0,3,1,255,R,0,62,62,62,,,,,2,0.438804149628,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ti.wav,0,1,1,256,R,0,63,63,63,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pi.wav,0,2,1,257,R,0,64,64,64,,,,,2,0.158781051636,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pu.wav,0,3,1,258,R,0,65,65,65,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pi.wav,0,1,1,259,R,0,66,66,66,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
du.wav,0,2,1,260,R,0,67,67,67,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
di.wav,0,3,1,261,R,0,68,68,68,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bu.wav,0,1,1,262,R,0,69,69,69,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pa.wav,0,2,1,263,R,0,70,70,70,,,,,2,0.205516815186,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
tu.wav,0,3,1,264,R,0,71,71,71,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pi.wav,0,1,1,265,R,0,72,72,72,,,,,2,0.423655986786,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ta.wav,0,2,1,266,R,0,73,73,73,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
da.wav,0,3,1,267,R,0,74,74,74,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ta.wav,0,1,1,268,R,0,75,75,75,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
tu.wav,0,2,1,269,R,0,76,76,76,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
tu.wav,0,3,1,270,R,0,77,77,77,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ba.wav,0,1,1,271,R,0,78,78,78,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pu.wav,0,2,1,272,R,0,79,79,79,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pa.wav,0,3,1,273,R,0,80,80,80,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bi.wav,0,1,1,274,R,0,81,81,81,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
